영화명,감독,개봉일자,전국 스크린수,전국 총 매출,전국 관람객,서울 총 매출,서울 관람객,장르,등급,영화코드,영화배우목록,actor1,actor2,actor3,actor4,actor5,value1,value2,value3,value4,value5
거북이 달린다,이연우,2009-6-11,379,20857347292,3059812,6785771000,942277,드라마,15세이상관람가,20090297,김윤석 정경호 견미리 선우선 서동수 이효권 최수현 양현석 김종근 김준희 최권 라미란 신정근 이무생 조덕제 유하복 차은재 김희원 박선준 염동헌 최홍일 류성현,김윤석,정경호,견미리,선우선,서동수,1.0,1.0,1.0,1.0,0.2
마더,봉준호,2009-5-28,648,20195373838,3013523,7430891000,1060010,드라마,청소년관람불가,20090248,김혜자 원빈 진구 윤제문 최재원 전미선 송새벽 천우희 정영기 이미도 유인수 박태준 오원식 이옥주 김홍집 윤혜진 임성미 임근아 김태환 황영희 한지희 남성호 권병길 고규필 박명신 염동헌 김규남 임형국 권범택,김혜자,원빈,진구,윤제문,최재원,1.0,1.0,0.5,0.5,0.2
굿모닝 프레지던트,장진,2009-10-22,586,18770889320,2583294,6239306300,815403,코미디,전체관람가,20090605,한동학 장동건 이순재 고두심 이재용 한채영 허정규 송기관 송영규 박일 최지나 김현동 서정민 김광현 유승희 윤동현 전유진 이은영 김재호 최은영 김용숙 박희건 임하룡 조덕현 장영남 이철민 김원해 이한위 이해영 전국환 김인우 이은채,한동학,장동건,이순재,고두심,이재용,0.2,1.0,1.0,1.0,0.2
내 사랑 내 곁에,박진표,2009-9-24,474,15764312409,2160265,4551271500,592412,드라마,12세이상관람가,20090329,하지원 김명민 남능미 임하룡 최종률 신신애 임종윤 임형준 임성민 가인 장원영 김여진 김광규 정의철 김혜림 임훈 유지연 유승목 신치영 김영필 강신일 송영창 설경구 박현영 김기천 전수지,하지원,김명민,남능미,임하룡,최종률,1.0,1.0,0.5,0.5,0.5
박쥐,박찬욱,2009-4-30,462,15051788827,2237271,5232105000,741819,공포(호러),청소년관람불가,20081003,송강호 구용완 김옥빈 신하균 김해숙 송영창 오달수 박인환 라미란 손종학 서동수 황우슬혜 조덕제 최희진 최종률 이화룡,송강호,구용완,김옥빈,신하균,김해숙,1.0,0.2,1.0,0.5,0.5
애자,정기훈,2009-9-9,262,13785879439,1922634,3876788000,514001,드라마,15세이상관람가,20090484,김성태 최강희 김영애 소주영 허서영 박용제 박윤남 박인혁 김시운 최효준 황은정 김C 김봉기 정화영 전정원 이주호 김C 장영남 신정근 정혜선 최일화 이세랑 오연아,김성태,최강희,김영애,소주영,허서영,0.2,1.0,1.0,0.2,0.2
그림자 살인,박대민,2009-4-2,387,12805808556,1914779,4256402500,604843,미스터리,15세이상관람가,20090156,송요셉 황정민 류덕환 오달수 엄지원 홍서백 홍의정 홍의정 김동길 김경숙 우승연 최광락 정상수 김춘식 최유리 이신우 이경태 김요섭 이정홍 박진우 오태경 유승목 서동수 조영진 엄효섭 최종률 윤제문 고준 이세랑 김향기 권태원 김응수 김기천 신유람 김서원 손병욱,송요셉,황정민,류덕환,오달수,엄지원,0.5,1.0,1.0,1.0,1.0
차우,신정원,2009-7-15,397,12676951144,1799356,3362197000,450304,액션,12세이상관람가,20090051,엄태웅 정유미 윤제문 권영국 김기천 박혁권 강구현 신미소 조민기 홍세인 정윤민 김윤호 유성철 권귀덕 김종호 장항선 최원영 하성광 이장유 박혜진 권범택,엄태웅,정유미,윤제문,권영국,김기천,1.0,1.0,1.0,0.2,0.5
불꽃처럼 나비처럼,김용균,2009-9-24,437,12447633504,1690294,3677266500,475245,멜로/로맨스,15세이상관람가,20090308,최경원 조승우 수애 천호진 김선화 최재웅 남현정 이대현 봉만대 이홍 박민희 임호 최승일 박소현 정인희 김정섭 김정일 이태호 고수희 이무생 최종률 김강일 이용녀 이주실 김영민 정종열 이상훈 천명재,최경원,조승우,수애,천호진,김선화,0.2,1.0,1.0,1.0,0.2
유감스러운 도시,김동원,2009-1-22,375,10300187478,1534911,2231852000,311803,코미디,15세이상관람가,20090014,정준호 최경원 정웅인 정운택 김상중 노승범 김홍식 홍광석 김형운 박용기 박유현 이상민 나현주 김범석 배경남 김병용 김대희 정구영 장현범 이지인 유준석 윤승남 박상민 정경훈 이승우 한고은 강성필 지대한 윤다경 전미선 조한선 장승화,정준호,최경원,정웅인,정운택,김상중,1.0,0.2,1.0,1.0,1.0
작전,이호재,2009-2-12,393,10198304795,1534407,3071680000,441745,범죄,15세이상관람가,20090023,박용하 박희순 김민정 김무열 김준성 신지희 김현미 박재웅 김길동 권형준 이승기 이시연 이하림 조덕현 조재윤 신현종 전국환 유승목 이은지 김승훈 정민성 정종열 최교식 신유람,박용하,박희순,김민정,김무열,김준성,0.5,0.5,0.5,0.5,0.5
아저씨,이정범,2010-08-04,478,47870792359,6282774,14820865000,1863328,액션,청소년관람불가,20100214,원빈 김새론 김희원 김성오 배영한 김호연 류성훈 김효민 김효서 신동민 홍석준 조영아 홍의정 이재원 조용현 박준우 최현아 황재순 박혜리 박호진 홍소희 노승우 임효우 이건문 백현익 서정주 김도형 민소연 이상하 박병렬 장민주 장준호 박성택 오정식 정도원 김창민 양종현 서민경 김지민 남경읍 송영창 이종필 조재윤 장준녕 김영아 김태훈 정민성 한사명 이정민 박성택,원빈,김새론,김희원,김성오,배영한,,,,,
의형제,장훈,2010-02-04,572,40800867602,5507106,12204373500,1563042,드라마,15세이상관람가,20090904,송강호 강동원 전국환 박혁권 윤희석 최정우 정인기 설진욱 강명희 홍서백 박용진 김의용 황순욱 황인준 박현수 김남희 김태환 박민우 임세환 최윤서 김진용 주부진 이현지 백승익 차엽 박진우 김광규 고창석 배용근 유하복 박수영 박성연 김영웅 이정민 권범택,송강호,강동원,전국환,박혁권,윤희석,,,,,
이끼,강우석,2010-07-14,736,25856306126,3408144,8251736000,1044532,드라마,청소년관람불가,20100209,정재영 박해일 유준상 유선 허준호 유해진 김상호 김준배 강신일 이철민 박정재 유준상 최근현 윤아름 오순태 김철현 장준녕,정재영,박해일,유준상,유선,허준호,,,,,
포화속으로,이재한,2010-06-16,736,24217600897,3385706,6203066000,822965,드라마,12세이상관람가,20100296,차승원 권상우 최승현 김승우 김혜성 신현탁 문재원 김득겸 신경선 추종범 홍성진 신성현 김윤성 장문석 김한준 황승현 김동윤 김동범 서승택 김경주 김대연 김규호 채호병 김태환 유승현 유영준 최민석 유한솔 윤승훈 장현근 이성문 정경일 윤진태 이세진 정재훈 정준혁 김정섭 김수형 김승환 이경현 이현종 고은총 이동훈 박진희 데이비드 맥기니스 남태부 강필선 진용욱 김호원 황유현 염혜란 백인권 위지웅,차승원,권상우,최승현,김승우,김혜성,,,,,
방자전,김대우,2010-06-02,512,22853629794,3035116,7700850000,975688,사극,청소년관람불가,20090927,김주혁 류승범 조여정 류현경 오달수 송새벽 오정세 공형진 김성령 최무성 김선영 김민교 조창현 안정희 박은혜 조명행 전세하 김형석 박영미 문원주 류현상 송슬기 박대희 유은아 정다혜 윤주영 최성일 김탁호 이진운 양시은 송지인 이민웅 최교식 류제승 이제훈 남진복 김태훈,김주혁,류승범,조여정,류현경,오달수,,,,,
하모니,강대규,2010-01-28,405,21992266198,3068544,5451128000,718993,드라마,12세이상관람가,20090914,김윤진 김호연 나문희 강예원 이다희 장영남 박준면 정수영 손미희 정혜원 홍민기 김원영 신정원 김해용 박지연 서동현 박란 유정민 이효준 임채연 윤익준 윤정빈 박선희 오은미 정재민 염은하 최은찬 전수지 김양성 김현수 김재화 지성원 이승연 이선주 박혜진 차청화,김윤진,김호연,나문희,강예원,이다희,,,,,
부당거래,류승완,2010-10-28,502,21326977937,2766436,7587039000,944655,범죄,청소년관람불가,20100213,황정민 김승훈 류승범 유해진 천호진 마동석 김원범 최정현 황병국 조준현 조철현 박형준 한동욱 한상욱 한성희 류수경 한재덕 강유미 서지영 박광호 박미숙 박민정 박민정 박민정 전봉수 전진영 박세준 임정언 권성현 최우성 온세웅 연영식 오상진 김종민 이춘연 이유빈 백승익 오승현 이채은 이미도 이희준 오정세 안길강 김수현 조영진 정만식 차은재 이화룡 김규남 김기천 곽자형 곽진석 김서원,황정민,김승훈,류승범,유해진,천호진,,,,,
헬로우 고스트,김영탁,2010-12-22,472,21154651779,2897477,6343048000,823854,코미디,12세이상관람가,20101223,차태현 강예원 이문수 고창석 장영남 천보근 신성일 이창수 라미란 이한위 조덕제 박길수 안길강 정혜원 하성광 이장유 이동진,차태현,강예원,이문수,고창석,장영남,,,,,
시라노; 연애조작단,김현석,2010-09-16,402,20171151599,2731828,7068438000,910652,멜로/로맨스,12세이상관람가,20100834,엄태웅 이민정 최다니엘 박신혜 박철민 전아민 송새벽 류현경 박은성 조재형 송다은 한대룡 서대현 김대인 김상렬 이병규 유일한 이미도 이미소 김지영 이대연 권해효 원현준 김유경,엄태웅,이민정,최다니엘,박신혜,박철민,,,,,
하녀,임상수,2010-05-13,577,17310669976,2304487,5832848500,740713,스릴러,청소년관람불가,20100188,전도연 이정재 윤여정 서우 박지영 안서현 황정민 문소리 신재민 박지선 박지선 김지선 전신환,전도연,이정재,윤여정,서우,박지영,,,,,
라스트 갓파더,심형래,2010-12-29,547,16832542997,2316099,4836322500,633176,코미디,12세이상관람가,20101209,심형래 마이클 리스폴리 하비 케이틀 제이슨 미웨스 조셀린 도나휴 안소희 우혜림,심형래,마이클리스폴리,하비케이틀,제이슨미웨스,조셀린도나휴,,,,,
황해,나홍진,2010-12-22,618,16765970362,2167426,5751617500,714591,스릴러,청소년관람불가,20101222,김윤석 하정우 조성하 이철민 박윤호 김기석 박재홍 안서현 박창수 노남석 김기환 백승철 진명 김봉주 고해성 장윤영 권귀덕 강민규 임만규 정명식 임재민 김재화 김윤정 박병은 조재윤 이엘 이영수 장소연 이희준 송원종 정대용 황석정 유하복 최욱 손강국 정만식 공정환 이유미 염동헌 정민성 백현주 정혜원 이재우 승의열 한이진 천명재 방혜영,김윤석,하정우,조성하,이철민,박윤호,,,,,
쩨쩨한 로맨스,김정훈,2010-12-01,463,15901620661,2080574,5725361000,716536,코미디,청소년관람불가,20101221,이선균 최강희 류현경 오정세 석정현 조성환 송유하 최현숙 추연규 류지혜 정구영 박성일 이원종 최희진 신동환 조은지 정민성,이선균,최강희,류현경,오정세,석정현,,,,,
초능력자,김민석,2010-11-10,622,15618440958,2164805,4771902000,623616,SF,15세이상관람가,20101010,김한나 강동원 고수 정은채 윤다경 최덕문 김수남 허명행 강민서 홍대성 홍대성 최장훈 김윤하 김한수 황상길 문용찬 이미경 채성원 유동헌 전상하 윤정빈 박아람 오정택 최윤석 김대현 김지원 이형훈 조덕제 류아벨 변희봉 김광규 김인권 김소진 이세랑 김영아 김기범 김서원 조영규 이수광,김한나,강동원,고수,정은채,윤다경,,,,,
악마를 보았다,김지운,2010-08-12,494,14148937025,1848418,4418565000,551368,스릴러,청소년관람불가,20100301,구용완 이병헌 최민식 조승민 신정훈 이준혁 김시운 남보라 최문숙 박미선 장정원 윤채영 정지윤 이현용 최무성 천호진 한송이 오산하 조덕제 최진호 전국환 김강일 김봉수 설창희,구용완,이병헌,최민식,조승민,신정훈,,,,,
최종병기 활,김한민,2011-08-10,615,55808856500,7466976,16139541000,2059847,사극,15세이상관람가,20110302,박해일 류승룡 김무열 문채원 이한위 김구택 이경영 박기웅 이승준 이재구 박노식 이다윗 전민서 오타니 료헤이 강규영 김홍수 김길동 최선미 조우진 이미소 최태환 박진주 한성민 김남수 강은규 김기덕 이상도 장재욱 임미주 박상희 최유라 이유비 이항주 이동훈 문영동 박명신 강신철 강신하,박해일,류승룡,김무열,문채원,이한위,,,,,
써니,강형철,2011-05-04,472,53773170600,7328820,15401904600,2004824,드라마,15세이상관람가,20110193,유호정 심은경 강소라 고수희 홍진희 강지원 김민영 김선경 진희경 김보미 이연경 박진주 남보라 민효린 윤미라 조민수 박윤정 신윤정 박영서 김예원 천우희 박중훈 최형태 심소희 최혜선 전선희 박혜성 진승환 김보름 김도엽 고은별 이상은 윤수진 최선아 박보영 윤정 임은채 최아름 류혜린 최영호 정은지 이승훈 이다슬 한승현 김새벽 성지루 정원중 정석용 김원해 최명길 이상아 김영옥 김보연 선주아 김시후 김혜옥 고준 박순천 권은수 양주호 박혁민,유호정,심은경,강소라,고수희,홍진희,,,,,
완득이,이한,2011-10-20,500,38530503500,5310510,11657798500,1525277,드라마,12세이상관람가,20112695,김윤석 유아인 김효숙 조병찬 조세현 정한진 강별 박효주 박종현 박진아 서대현 서왕석 김광섭 차선영 천영암 최명경 윤경호 전승엽 임정환 오희준 김신우 이경숙 이유나 이태영 김영재 조덕제 조상건 안길강 김상호 리우진 성유빈 박수영 김도영 김동영 신유람 김윤태,김윤석,유아인,김효숙,조병찬,조세현,,,,,
조선명탐정 : 각시투구꽃의 비밀,김석윤,2011-01-27,611,35841769500,4786259,10712744000,1363857,코미디,12세이상관람가,20102414,김명민 김호연 한지민 오달수 김영훈 백성기 지승현 류현상 김경화 김탁호 김윤섭 최무성 남성진 우현 이재용 예수정 원현준 김태훈 정인기,김명민,김호연,한지민,오달수,김영훈,,,,,
도가니,황동혁,2011-09-22,644,35566854800,4662822,10141606500,1267508,드라마,청소년관람불가,20112534,정유미 공유 허재호 송은정 임현성 최진호 박진우 이금용 배정민 김봉화 최보람 박사현 전영미 박선희 최영수 이순남 박승원 오하나 이예나 이차주 김현수 장소연 장광 전국환 엄효섭 남명렬 이장유 박혜진 김민상,정유미,공유,허재호,송은정,임현성,,,,,
퀵,조범구,2011-07-20,512,22960890000,3125069,5353417500,692405,코미디,15세이상관람가,20110290,이새별 고창석 강예원 이민기 김인권 김원영 홍승록 박은영 조용진 김은옥 이건우 안상훈 배승리 권영빈 주승환 주영민 변상윤 김가을 김결 서태원 박다솜 이지호 최민서 윤소연 윤승현 임혜원 박상현 윤지민 최연주 정수인 김병철 이해인 김재화 이희준 오정세 전국환 유승목 윤제문 김소진 조경현 박지연 한사명,이새별,고창석,강예원,이민기,김인권,,,,,
고지전,장훈,2011-07-20,585,21968557600,2945137,6379632100,817904,드라마,15세이상관람가,20119515,신하균 고수 이제훈 류승수 고창석 이다윗 류승룡 김옥빈 조진웅 정인기 강구현 강내균 송현석 조민철 조민호 홍서백 박영서 박재철 박종환 박주용 하성철 조형우 서수석 김경일 김상수 최민 윤민수 임재현 김준영 김지수 이주승 최정우 전국환 김강일 서현우 한이진,신하균,고수,이제훈,류승수,고창석,,,,,
오싹한 연애,황인호,2011-12-01,469,21965313000,3001530,6146203500,797727,공포(호러),12세이상관람가,20113381,손예진 이민기 신동훈 김혜숙 조아라 박재우 태리 최우진 이현진 이미도 송지인 황승언 김현숙,손예진,이민기,신동훈,김혜숙,조아라,,,,,
7광구,김지훈,2011-08-04,812,19314027000,2232179,4908554500,528995,SF,15세이상관람가,20119513,하지원 박철민 김성태 차예련 이한위 오지호 송새벽 안성기 박원희 김형석 박정학 배명호 장동원 정상용 박영수 오민석 정인기,하지원,박철민,김성태,차예련,이한위,,,,,
위험한 상견례,김진영,2011-03-31,524,19174920500,2595625,5930105000,765417,코미디,12세이상관람가,20119618,송새벽 이시영 백윤식 김수미 박철민 강동호 손대구 임종혁 김효원 김원석 정웅인 이연주 박정민 박주희 정성화 서용주 김선영 박민우 정승혜 이진규 이진성 오상훈 양민석 김준영 이명숙 이한위 길해연 박효주 김정난 김응수 정민성 이상협,송새벽,이시영,백윤식,김수미,박철민,,,,,
블라인드,안상훈,2011-08-10,404,18361430500,2362906,5974758500,736580,스릴러,청소년관람불가,20110297,김하늘 유승호 조희봉 양영조 최지호 조은서 박주혜 조하나 김기준 임채경 민소연 이보미 박영 최은석 이은이 박보검 오대환 이한솔 박충선 성유빈 백익남 김사희,김하늘,유승호,조희봉,양영조,최지호,,,,,
의뢰인,손영성,2011-09-29,522,17797042500,2393086,5652134000,719601,스릴러,15세이상관람가,20110613,박희순 장혁 하정우 유다인 박원재 손인용 허재호 조동연 김원우 김유선 최종원 최준혁 유하준 박혁권 최진욱 황병국 나수윤 이근우 백선희 권원진 이두훈 변봉현 강승훈 김보미 장윤정 이상원 이선희 임승빈 양정은 이창훈 김영훈 배성우 이지훈 정원중 최희진 예수정 이화룡 박성연 박성근 김윤태,박희순,장혁,하정우,유다인,박원재,,,,,
가문의 영광4 - 가문의 수난,정태원,2011-09-07,537,17762035500,2363955,4095559500,516319,코미디,15세이상관람가,20112272,김수미 신현준 임형준 정준하 탁재훈 현영 허필봉 정웅인 박정호 박정환 한용환 모상범 임정빈 여기한 오석규 이창세 김지우 김성주 정만식 김화섭,김수미,신현준,임형준,정준하,탁재훈,,,,,
마이 웨이,강제규,2011-12-21,645,15994803000,2142622,4281032000,548651,전쟁,15세이상관람가,20110295,장동건 오다기리 죠 판빙빙 강남현 조동혁 김효연 김홍근 신승훈 홍서백 김희원 최지우 도지한 이건우 최태정 박태성 이광기 한경석 한정욱 서종철 김대현 이문호 유미진 이호연 이상협 이확광 곽진석 곽호선 권문철 이홍섭 최우수 오태경 양진석 이창욱 이학렬 이현희 최상준 한승현 이동훈 김시후 김인우 성유빈 정종열 이동진 위지웅,장동건,오다기리죠,판빙빙,강남현,조동혁,,,,,
마당을 나온 암탉,오성윤,2011-07-28,345,14656535500,2199048,3749312000,538167,애니메이션,전체관람가,20110279,문소리 박철민 최민식 유승호 홍윤정 김한솔 김상현,문소리,박철민,최민식,유승호,홍윤정,,,,,
도둑들,최동훈,2012-07-25,1072,93665568500,12983330,26089426500,3468906,액션,15세이상관람가,20124034,김윤석 김혜수 이정재 전지현 임달화 김해숙 오달수 김수현 이심결 증국상 서영주 장동 장현문 정윤헌 조상원 한규석 홍원기 김영민 최덕문 최진호 장준녕 예수정 김영웅 이은채 손병욱 이동진,김윤석,김혜수,이정재,전지현,임달화,,,,,
"광해, 왕이 된 남자",추창민,2012-09-13,810,88900208769,12319542,25192804727,3355700,사극,15세이상관람가,20124079,이병헌 류승룡 한효주 장광 김인권 심은경 김명곤 서진원 장재현 정창국 조혜정 김남준 이수용 박윤호 김지수 박민규 박지아 송미정 양준모 원동연 김종구 주영호 이엘 전배수 이란희 최욱 이봉련 허성태 이양희 전국향 김승훈 권은수 승의열 김비비 한이진 이은정,이병헌,류승룡,한효주,장광,김인권,,,,,
늑대소년,조성희,2012-10-31,706,46593107500,6654837,12336313500,1677173,멜로/로맨스,15세이상관람가,20124054,송중기 박보영 장영남 유연석 김향기 장서이 한민혁 이승주 최광락 오영석 차종호 이영란 유승목 서동수 김승훈 구교환 이민웅 남정희 정인겸,송중기,박보영,장영남,유연석,김향기,,,,,
